id,focus,signal,slack,drag,confidence,score,lane
l001,latency skew,35,33,6,25,129,watch
l002,signal loss,35,34,6,55,190,watch
l003,incident shape,35,35,6,85,251,ship
l004,span volume,35,36,18,25,84,hold
l005,latency skew,35,37,18,55,145,watch
l006,signal loss,35,38,18,85,206,ship
l007,incident shape,35,39,34,25,23,hold
l008,span volume,35,40,34,55,84,hold
l009,latency skew,35,41,34,85,145,watch
l010,signal loss,60,42,6,25,188,watch
l011,incident shape,60,43,6,55,249,ship
l012,span volume,60,44,6,85,310,ship
l013,latency skew,60,45,18,25,143,watch
l014,signal loss,60,46,18,55,204,watch
l015,incident shape,60,47,18,85,265,ship
l016,span volume,60,48,34,25,82,hold
l017,latency skew,60,32,34,55,126,hold
l018,signal loss,60,33,34,85,187,watch
l019,incident shape,85,34,6,25,230,ship
l020,span volume,85,35,6,55,291,ship
l021,latency skew,85,36,6,85,352,ship
l022,signal loss,85,37,18,25,185,watch
l023,incident shape,85,38,18,55,246,ship
l024,span volume,85,39,18,85,307,ship
l025,latency skew,85,40,34,25,124,hold
l026,signal loss,85,41,34,55,185,watch
l027,incident shape,85,42,34,85,246,ship
